                          base,     512,        all, HEADER,                      TEST,          TICK,  HASH,        REP
                          base,     512,        all, RESULT,             binsearch_u64,         37436,    41,        100
                          base,     512,        all, RESULT,                  dijkstra,       1231344,    ba,        100
                          base,     512,        all, RESULT,                      hist,        552498,    18,        100
                          base,     512,        all, RESULT,                    matmul,       1119578,    83,        100
                          base,     512,        all, RESULT,                 qsort_u32,       4445914,    b9,        100
                          base,     512,        all, RESULT,                 qsort_u64,       1929178,    b9,        100
                          base,     512,        all, RESULT,                 radixsort,       6284972,    b9,        100
                          base,     640,        all, RESULT,             binsearch_u64,         66802,    43,        100
                          base,     640,        all, RESULT,                  dijkstra,       1438258,    e1,        100
                          base,     640,        all, RESULT,                      hist,        423722,    fa,        100
                          base,     640,        all, RESULT,                    matmul,       1524104,    1b,        100
                          base,     640,        all, RESULT,                 qsort_u32,       5765980,    2d,        100
                          base,     640,        all, RESULT,                 qsort_u64,       2518624,    ad,        100
                          base,     640,        all, RESULT,                 radixsort,       7358390,    ad,        100
                          base,     768,        all, RESULT,             binsearch_u64,         41090,    36,        100
                          base,     768,        all, RESULT,                  dijkstra,       1659022,    a7,        100
                          base,     768,        all, RESULT,                      hist,        639556,    30,        100
                          base,     768,        all, RESULT,                    matmul,       1524410,    81,        100
                          base,     768,        all, RESULT,                 qsort_u32,       7114468,    b8,        100
                          base,     768,        all, RESULT,                 qsort_u64,       3149006,    38,        100
                          base,     768,        all, RESULT,                 radixsort,       7900108,    38,        100
                          base,     896,        all, RESULT,             binsearch_u64,         42734,    43,        100
                          base,     896,        all, RESULT,                  dijkstra,       1899448,    5e,        100
                          base,     896,        all, RESULT,                      hist,        758704,    a9,        100
                          base,     896,        all, RESULT,                    matmul,       2134180,    71,        100
                          base,     896,        all, RESULT,                 qsort_u32,       8564876,    45,        100
                          base,     896,        all, RESULT,                 qsort_u64,       3800134,    c5,        100
                          base,     896,        all, RESULT,                 radixsort,       7509492,    45,        100
                          base,    1024,        all, RESULT,             binsearch_u64,         25802,    39,        100
                          base,    1024,        all, RESULT,                  dijkstra,       1320936,    a8,        100
                          base,    1024,        all, RESULT,                      hist,        682006,    90,        100
                          base,    1024,        all, RESULT,                    matmul,       2922862,    45,        100
                          base,    1024,        all, RESULT,                 qsort_u32,       9318374,    12,        100
                          base,    1024,        all, RESULT,                 qsort_u64,       2869114,    12,        100
                          base,    1024,        all, RESULT,                 radixsort,      10203454,    92,        100
                          base,    1280,        all, RESULT,             binsearch_u64,         27760,    8d,        100
                          base,    1280,        all, RESULT,                  dijkstra,       1685312,    56,        100
                          base,    1280,        all, RESULT,                      hist,        850244,    d5,        100
                          base,    1280,        all, RESULT,                    matmul,       3844508,    84,        100
                          base,    1280,        all, RESULT,                 qsort_u32,       9524084,    ed,        100
                          base,    1280,        all, RESULT,                 qsort_u64,       3741514,    6d,        100
                          base,    1280,        all, RESULT,                 radixsort,       9529520,    6d,        100
                          base,    1536,        all, RESULT,             binsearch_u64,         30774,    1e,        100
                          base,    1536,        all, RESULT,                  dijkstra,       2260640,    bd,        100
                          base,    1536,        all, RESULT,                      hist,       1123562,    86,        100
                          base,    1536,        all, RESULT,                    matmul,       5590398,    90,        100
                          base,    1536,        all, RESULT,                 qsort_u32,      11638094,    25,        100
                          base,    1536,        all, RESULT,                 qsort_u64,       5174018,    25,        100
                          base,    1536,        all, RESULT,                 radixsort,       9099366,    25,        100
                          base,    1792,        all, RESULT,             binsearch_u64,         29004,    57,        100
                          base,    1792,        all, RESULT,                  dijkstra,       2533728,    40,        100
                          base,    1792,        all, RESULT,                      hist,       1198350,    10,        100
                          base,    1792,        all, RESULT,                    matmul,       6875512,    8d,        100
                          base,    1792,        all, RESULT,                 qsort_u32,      12468122,    9a,        100
                          base,    1792,        all, RESULT,                 qsort_u64,       5487120,    9a,        100
                          base,    1792,        all, RESULT,                 radixsort,      10466770,    1a,        100
                          base,    2048,        all, RESULT,             binsearch_u64,         42898,    f2,        100
                          base,    2048,        all, RESULT,                  dijkstra,       4031724,    8a,        100
                          base,    2048,        all, RESULT,                      hist,       1283500,    80,        100
                          base,    2048,        all, RESULT,                    matmul,       7918432,    6b,        100
                          base,    2048,        all, RESULT,                 qsort_u32,      15921188,    ea,        100
                          base,    2048,        all, RESULT,                 qsort_u64,       6204864,    6a,        100
                          base,    2048,        all, RESULT,                 radixsort,      12359472,    ea,        100
                          base,    2560,        all, RESULT,             binsearch_u64,         49366,    2d,        100
                          base,    2560,        all, RESULT,                  dijkstra,       4585358,    4a,        100
