                   oramB64Z4L1,     512,        mem,      random_load_test_u64,       2507284,    ec,        100
                   oramB64Z4L1,     512,        mem,     random_store_test_u64,       4591730,    5b,        100
                   oramB64Z4L1,     512,        mem,      linear_load_test_u64,       2074268,    40,        100
                   oramB64Z4L1,     512,        mem,     linear_store_test_u64,       4465186,     1,        100
                   oramB64Z4L2,    1024,        mem,      random_load_test_u64,       3043820,    e3,        100
                   oramB64Z4L2,    1024,        mem,     random_store_test_u64,       6417446,    57,        100
                   oramB64Z4L2,    1024,        mem,      linear_load_test_u64,       3027176,    21,        100
                   oramB64Z4L2,    1024,        mem,     linear_store_test_u64,       5815916,    4a,        100
                   oramB64Z4L3,    2048,        mem,      random_load_test_u64,       3210056,    97,        100
                   oramB64Z4L3,    2048,        mem,     random_store_test_u64,       6350750,    38,        100
                   oramB64Z4L3,    2048,        mem,      linear_load_test_u64,       2919146,    87,        100
                   oramB64Z4L3,    2048,        mem,     linear_store_test_u64,       5853816,    aa,        100
                   oramB64Z4L4,    4096,        mem,      random_load_test_u64,       3671018,    70,        100
                   oramB64Z4L4,    4096,        mem,     random_store_test_u64,       6616630,    58,        100
                   oramB64Z4L4,    4096,        mem,      linear_load_test_u64,       3058116,    24,        100
                   oramB64Z4L4,    4096,        mem,     linear_store_test_u64,       6063478,    8f,        100
                   oramB64Z4L5,    8192,        mem,      random_load_test_u64,       4516410,    2b,        100
                   oramB64Z4L5,    8192,        mem,     random_store_test_u64,       8343132,    c6,        100
                   oramB64Z4L5,    8192,        mem,      linear_load_test_u64,       3560072,    cd,        100
                   oramB64Z4L5,    8192,        mem,     linear_store_test_u64,       6925338,    d1,        100
             page6_oramB64Z4L1,     512,        mem,      random_load_test_u64,          9972,    ec,        100
             page6_oramB64Z4L1,     512,        mem,     random_store_test_u64,         24150,    5b,        100
             page6_oramB64Z4L1,     512,        mem,      linear_load_test_u64,          9652,    40,        100
             page6_oramB64Z4L1,     512,        mem,     linear_store_test_u64,         24082,     1,        100
             page6_oramB64Z4L2,    1024,        mem,      random_load_test_u64,          9966,    e3,        100
             page6_oramB64Z4L2,    1024,        mem,     random_store_test_u64,         24444,    57,        100
             page6_oramB64Z4L2,    1024,        mem,      linear_load_test_u64,         10526,    21,        100
             page6_oramB64Z4L2,    1024,        mem,     linear_store_test_u64,         24244,    4a,        100
             page6_oramB64Z4L3,    2048,        mem,      random_load_test_u64,        970734,    97,        100
             page6_oramB64Z4L3,    2048,        mem,     random_store_test_u64,        808424,    38,        100
             page6_oramB64Z4L3,    2048,        mem,      linear_load_test_u64,        970346,    87,        100
             page6_oramB64Z4L3,    2048,        mem,     linear_store_test_u64,         24224,    aa,        100
             page6_oramB64Z4L4,    4096,        mem,      random_load_test_u64,       4926348,    70,        100
             page6_oramB64Z4L4,    4096,        mem,     random_store_test_u64,       3682278,    58,        100
             page6_oramB64Z4L4,    4096,        mem,      linear_load_test_u64,        912432,    24,        100
             page6_oramB64Z4L4,    4096,        mem,     linear_store_test_u64,         21462,    8f,        100
             page6_oramB64Z4L5,    8192,        mem,      random_load_test_u64,       4156298,    2b,        100
             page6_oramB64Z4L5,    8192,        mem,     random_store_test_u64,       4267038,    c6,        100
             page6_oramB64Z4L5,    8192,        mem,      linear_load_test_u64,        724394,    cd,        100
             page6_oramB64Z4L5,    8192,        mem,     linear_store_test_u64,         14970,    d1,        100
             page6_oramB64Z4L6,   16384,        mem,      random_load_test_u64,       4654740,    7c,        100
             page6_oramB64Z4L6,   16384,        mem,     random_store_test_u64,       4868038,    1b,        100
             page6_oramB64Z4L6,   16384,        mem,      linear_load_test_u64,        470596,    22,        100
             page6_oramB64Z4L6,   16384,        mem,     linear_store_test_u64,          9236,     d,        100
             page6_oramB64Z4L7,   32768,        mem,      random_load_test_u64,       3247182,    90,        100
             page6_oramB64Z4L7,   32768,        mem,     random_store_test_u64,       3295168,    a8,        100
             page6_oramB64Z4L7,   32768,        mem,      linear_load_test_u64,        450662,    e0,        100
             page6_oramB64Z4L7,   32768,        mem,     linear_store_test_u64,          8452,     1,        100
             page6_oramB64Z4L8,   65536,        mem,      random_load_test_u64,       3575690,    64,        100
             page6_oramB64Z4L8,   65536,        mem,     random_store_test_u64,       3580594,    82,        100
             page6_oramB64Z4L8,   65536,        mem,      linear_load_test_u64,        471584,    f5,        100
             page6_oramB64Z4L8,   65536,        mem,     linear_store_test_u64,          8422,    f3,        100
             page6_oramB64Z4L9,  131072,        mem,      random_load_test_u64,       3805602,    de,        100
             page6_oramB64Z4L9,  131072,        mem,     random_store_test_u64,       3873016,    ac,        100
             page6_oramB64Z4L9,  131072,        mem,      linear_load_test_u64,        492556,    13,        100
             page6_oramB64Z4L9,  131072,        mem,     linear_store_test_u64,          8500,    71,        100
            page6_oramB64Z4L10,  262144,        mem,      random_load_test_u64,       4043938,    93,        100
            page6_oramB64Z4L10,  262144,        mem,     random_store_test_u64,       4095090,    68,        100
            page6_oramB64Z4L10,  262144,        mem,      linear_load_test_u64,        523842,    f5,        100
            page6_oramB64Z4L10,  262144,        mem,     linear_store_test_u64,          8530,    c5,        100
            page6_oramB64Z4L11,  524288,        mem,      random_load_test_u64,       4378702,    40,        100
            page6_oramB64Z4L11,  524288,        mem,     random_store_test_u64,       4507828,    b4,        100
            page6_oramB64Z4L11,  524288,        mem,      linear_load_test_u64,        539868,    f5,        100
            page6_oramB64Z4L11,  524288,        mem,     linear_store_test_u64,          8548,    7f,        100
            page6_oramB64Z4L12, 1048576,        mem,      random_load_test_u64,       4862396,    8a,        100
            page6_oramB64Z4L12, 1048576,        mem,     random_store_test_u64,       5210476,    2d,        100
            page6_oramB64Z4L12, 1048576,        mem,      linear_load_test_u64,        564212,    f5,        100
            page6_oramB64Z4L12, 1048576,        mem,     linear_store_test_u64,          8454,    ca,        100
            page6_oramB64Z4L13, 2097152,        mem,      random_load_test_u64,       5556388,    9a,        100
            page6_oramB64Z4L13, 2097152,        mem,     random_store_test_u64,       6493360,     3,        100
            page6_oramB64Z4L13, 2097152,        mem,      linear_load_test_u64,        597602,    f5,        100
            page6_oramB64Z4L13, 2097152,        mem,     linear_store_test_u64,          8478,    dc,        100
