                 page6_oram200,     200,                      TEST,          TICK,  HASH        REP
                 page6_oram200,     200,      random_load_test_u64,         10798,    38        100
                 page6_oram200,     200,     random_store_test_u64,         24150,    ec        100
                 page6_oram200,     200,      linear_load_test_u64,          9670,    1a        100
                 page6_oram200,     200,     linear_store_test_u64,         24226,    f7        100
                 page6_oram200,     200,             binsearch_u64,         43376,    f7        100
                 page6_oram200,     200,                  dijkstra,        671268,    d8        100
                 page6_oram200,     200,                      hist,       1634020,    d7        100
                 page6_oram200,     200,                    matmul,       5741444,     8        100
                 page6_oram200,     200,                 qsort_u32,        118130,     8          1
                 page6_oram200,     200,                 qsort_u64,         45402,     8          1
                 page6_oram200,     200,                 radixsort,        201558,     8          1
                 page6_oram200,     200,                      TEST,          TICK,  HASH        REP
                 page6_oram200,     200,      random_load_test_u64,         10794,    38        100
                 page6_oram200,     200,     random_store_test_u64,         24256,    ec        100
                 page6_oram200,     200,      linear_load_test_u64,          9690,    1a        100
                 page6_oram200,     200,     linear_store_test_u64,         24192,    f7        100
                 page6_oram200,     200,             binsearch_u64,         43274,    f7        100
                 page6_oram200,     200,                  dijkstra,        665144,    d8        100
                 page6_oram200,     200,                      hist,       1627098,    d7        100
                 page6_oram200,     200,                    matmul,       5747498,     8        100
                 page6_oram200,     200,                 qsort_u32,        118472,     8          1
                 page6_oram200,     200,                 qsort_u64,         45586,     8          1
                 page6_oram200,     200,                 radixsort,        201868,     8          1
                 page6_oram200,     300,                      TEST,          TICK,  HASH        REP
                 page6_oram200,     300,      random_load_test_u64,         10034,    bf        100
                 page6_oram200,     300,     random_store_test_u64,         23982,    dc        100
                 page6_oram200,     300,      linear_load_test_u64,          9618,    3b        100
                 page6_oram200,     300,     linear_store_test_u64,         24108,     b        100
                 page6_oram200,     300,             binsearch_u64,         49480,     b        100
                 page6_oram200,     300,                  dijkstra,       1082082,    d8        100
                 page6_oram200,     300,                      hist,       2528002,    c2        100
                 page6_oram200,     300,                    matmul,       4644948,    29        100
                 page6_oram200,     300,                 qsort_u32,        152902,    b3          1
                 page6_oram200,     300,                 qsort_u64,         50932,    b3          1
                 page6_oram200,     300,                 radixsort,        202970,    b3          1
                 page6_oram500,     400,                      TEST,          TICK,  HASH        REP
                 page6_oram500,     400,      random_load_test_u64,         10782,    c9        100
                 page6_oram500,     400,     random_store_test_u64,         24268,    ea        100
                 page6_oram500,     400,      linear_load_test_u64,          9592,     f        100
                 page6_oram500,     400,     linear_store_test_u64,         24126,    51        100
                 page6_oram500,     400,             binsearch_u64,         50010,    51        100
                 page6_oram500,     400,                  dijkstra,       1181114,    5a        100
                 page6_oram500,     400,                      hist,       3359538,     d        100
                 page6_oram500,     400,                    matmul,       8921038,    a9        100
                 page6_oram500,     400,                 qsort_u32,        186380,    44          1
                 page6_oram500,     400,                 qsort_u64,         69032,    c4          1
                 page6_oram500,     400,                 radixsort,        249954,    c4          1
                 page6_oram500,     600,                      TEST,          TICK,  HASH        REP
                 page6_oram500,     600,      random_load_test_u64,         10238,    12        100
                 page6_oram500,     600,     random_store_test_u64,         24360,    28        100
                 page6_oram500,     600,      linear_load_test_u64,          9722,     b        100
                 page6_oram500,     600,     linear_store_test_u64,         24134,    fa        100
                 page6_oram500,     600,             binsearch_u64,         56668,    fa        100
                 page6_oram500,     600,                  dijkstra,       1844926,    83        100
                 page6_oram500,     600,                      hist,       5076666,    1b        100
                 page6_oram500,     600,                    matmul,      16340286,    15        100
                 page6_oram500,     600,                 qsort_u32,        394254,    d3          1
                 page6_oram500,     600,                 qsort_u64,        118138,    53          1
                 page6_oram500,     600,                 radixsort,        443886,    d3          1
                page6_oram1000,     700,                      TEST,          TICK,  HASH        REP
                page6_oram1000,     700,      random_load_test_u64,         10778,    75        100
                page6_oram1000,     700,     random_store_test_u64,         24062,    a0        100
                page6_oram1000,     700,      linear_load_test_u64,          9706,    c9        100
                page6_oram1000,     700,     linear_store_test_u64,         24200,    e7        100
                page6_oram1000,     700,             binsearch_u64,         56782,    e7        100
                page6_oram1000,     700,                  dijkstra,       2092644,    d3        100
                page6_oram1000,     700,                      hist,       4813178,    d9        100
