                   oramB64Z4L1,     512,        mem,      random_load_test_u64,     218921718,    f8,      10000
                   oramB64Z4L1,     512,        mem,     random_store_test_u64,     425057420,    33,      10000
                   oramB64Z4L1,     512,        mem,      linear_load_test_u64,     202060298,    17,      10000
                   oramB64Z4L1,     512,        mem,     linear_store_test_u64,     408146868,    90,      10000
                   oramB64Z4L2,    1024,        mem,      random_load_test_u64,     331949140,    32,      10000
                   oramB64Z4L2,    1024,        mem,     random_store_test_u64,     631864388,    62,      10000
                   oramB64Z4L2,    1024,        mem,      linear_load_test_u64,     301964012,    46,      10000
                   oramB64Z4L2,    1024,        mem,     linear_store_test_u64,     605660510,    87,      10000
                   oramB64Z4L3,    2048,        mem,      random_load_test_u64,     325213218,    c5,      10000
                   oramB64Z4L3,    2048,        mem,     random_store_test_u64,     604493664,    b5,      10000
                   oramB64Z4L3,    2048,        mem,      linear_load_test_u64,     287925810,    8b,      10000
                   oramB64Z4L3,    2048,        mem,     linear_store_test_u64,     567969416,    94,      10000
                   oramB64Z4L4,    4096,        mem,      random_load_test_u64,     369743644,    a3,      10000
                   oramB64Z4L4,    4096,        mem,     random_store_test_u64,     681697066,    c5,      10000
                   oramB64Z4L4,    4096,        mem,      linear_load_test_u64,     315190388,    72,      10000
                   oramB64Z4L4,    4096,        mem,     linear_store_test_u64,     623305666,    cd,      10000
                   oramB64Z4L5,    8192,        mem,      random_load_test_u64,     488257934,    28,      10000
                   oramB64Z4L5,    8192,        mem,     random_store_test_u64,     841625498,    2f,      10000
                   oramB64Z4L5,    8192,        mem,      linear_load_test_u64,     362367698,    c4,      10000
                   oramB64Z4L5,    8192,        mem,     linear_store_test_u64,     706246598,    f4,      10000
             page6_oramB64Z4L1,     512,        mem,      random_load_test_u64,        967982,    f8,      10000
             page6_oramB64Z4L1,     512,        mem,     random_store_test_u64,       2403282,    33,      10000
             page6_oramB64Z4L1,     512,        mem,      linear_load_test_u64,        937962,    17,      10000
             page6_oramB64Z4L1,     512,        mem,     linear_store_test_u64,       2393626,    90,      10000
             page6_oramB64Z4L2,    1024,        mem,      random_load_test_u64,        978936,    32,      10000
             page6_oramB64Z4L2,    1024,        mem,     random_store_test_u64,       2416712,    62,      10000
             page6_oramB64Z4L2,    1024,        mem,      linear_load_test_u64,        950268,    46,      10000
             page6_oramB64Z4L2,    1024,        mem,     linear_store_test_u64,       2395108,    87,      10000
             page6_oramB64Z4L3,    2048,        mem,      random_load_test_u64,      61146796,    c5,      10000
             page6_oramB64Z4L3,    2048,        mem,     random_store_test_u64,      33729332,    b5,      10000
             page6_oramB64Z4L3,    2048,        mem,      linear_load_test_u64,      32572488,    8b,      10000
             page6_oramB64Z4L3,    2048,        mem,     linear_store_test_u64,      32857022,    94,      10000
             page6_oramB64Z4L4,    4096,        mem,      random_load_test_u64,     175918064,    a3,      10000
