   5,          rasm_indjmp,       base,     500,                      TEST,          TICK,       HASH
   5,          rasm_indjmp,       base,     500,      random_load_test_u64,      74546004,   8222c97a
   5,          rasm_indjmp,       base,     500,      linear_load_test_u64,      34233304,    dcee904
   5,          rasm_indjmp,       base,     500,     random_store_test_u64,      78199588,   74483ee5
   5,          rasm_indjmp,       base,     500,     linear_store_test_u64,      35978476,   68cc5a06
   5,          rasm_indjmp,       base,     500,    random_load_test_u64x8,     216108240,         a3
   5,          rasm_indjmp,       base,     500,      random_swap_test_u64,     209329352,   cb709f06
   5,          rasm_indjmp,       base,     500,       random_swap_test_u8,     242713116,   2f427c26
   5,          rasm_indjmp,       base,     500,       linear_swap_test_u8,     124721698,   9df829d0
   5,          rasm_indjmp,       base,     500,                 qsort_u32,       4665650,   3999e051
   5,          rasm_indjmp,       base,     500,                 radixsort,       3987060,   c6d2ce51
   5,            rasm_cmov,       base,     500,                      TEST,          TICK,       HASH
   5,            rasm_cmov,       base,     500,      random_load_test_u64,      83152764,   8222c97a
   5,            rasm_cmov,       base,     500,      linear_load_test_u64,      82127184,    dcee904
   5,            rasm_cmov,       base,     500,     random_store_test_u64,      83532394,   74483ee5
   5,            rasm_cmov,       base,     500,     linear_store_test_u64,      82370718,   68cc5a06
   5,            rasm_cmov,       base,     500,    random_load_test_u64x8,     468240634,         a3
   5,            rasm_cmov,       base,     500,      random_swap_test_u64,     234146980,   cb709f06
   5,            rasm_cmov,       base,     500,       random_swap_test_u8,     356299754,   2f427c26
   5,            rasm_cmov,       base,     500,       linear_swap_test_u8,     363408630,   9df829d0
   5,            rasm_cmov,       base,     500,                 qsort_u32,       9540542,   3999e051
   5,            rasm_cmov,       base,     500,                 radixsort,       9736846,   c6d2ce51
   5,       rasm_perm_cmov,       base,     500,                      TEST,          TICK,       HASH
   5,       rasm_perm_cmov,       base,     500,      random_load_test_u64,      53219168,   8222c97a
   5,       rasm_perm_cmov,       base,     500,      linear_load_test_u64,      35622236,    dcee904
   5,       rasm_perm_cmov,       base,     500,     random_store_test_u64,      90087978,   74483ee5
   5,       rasm_perm_cmov,       base,     500,     linear_store_test_u64,      88406050,   68cc5a06
   5,       rasm_perm_cmov,       base,     500,    random_load_test_u64x8,     215071348,         a3
   5,       rasm_perm_cmov,       base,     500,      random_swap_test_u64,     162966294,   cb709f06
   5,       rasm_perm_cmov,       base,     500,       random_swap_test_u8,     215241284,   2f427c26
   5,       rasm_perm_cmov,       base,     500,       linear_swap_test_u8,     222181628,   9df829d0
   5,       rasm_perm_cmov,       base,     500,                 qsort_u32,       6096696,   3999e051
   5,       rasm_perm_cmov,       base,     500,                 radixsort,       6016682,   c6d2ce51
   5,     rasm_perm_indjmp,       base,     500,                      TEST,          TICK,       HASH
   5,     rasm_perm_indjmp,       base,     500,      random_load_test_u64,      35756902,   8222c97a
   5,     rasm_perm_indjmp,       base,     500,      linear_load_test_u64,      33347804,    dcee904
   5,     rasm_perm_indjmp,       base,     500,     random_store_test_u64,      78009780,   74483ee5
   5,     rasm_perm_indjmp,       base,     500,     linear_store_test_u64,      36429886,   68cc5a06
   5,     rasm_perm_indjmp,       base,     500,    random_load_test_u64x8,     212619624,         a3
   5,     rasm_perm_indjmp,       base,     500,      random_swap_test_u64,     147833738,   cb709f06
   5,     rasm_perm_indjmp,       base,     500,       random_swap_test_u8,     206599696,   2f427c26
   5,     rasm_perm_indjmp,       base,     500,       linear_swap_test_u8,     145844032,   9df829d0
   5,     rasm_perm_indjmp,       base,     500,                 qsort_u32,       5103510,   3999e051
   5,     rasm_perm_indjmp,       base,     500,                 radixsort,       4813464,   c6d2ce51
   6,          rasm_indjmp,       base,     500,                      TEST,          TICK,       HASH
   6,          rasm_indjmp,       base,     500,      random_load_test_u64,      74257106,   8222c97a
   6,          rasm_indjmp,       base,     500,      linear_load_test_u64,      34265736,    dcee904
   6,          rasm_indjmp,       base,     500,     random_store_test_u64,      78025414,   74483ee5
