               dummy,    1700,                      TEST,          TICK,       HASH
               dummy,    1700,      random_load_test_u64,      10545864,          0
               dummy,    1700,      linear_load_test_u64,       7215976,          0
               dummy,    1700,     random_store_test_u64,       6476488,         81
               dummy,    1700,     linear_store_test_u64,       6473628,         81
               dummy,    1700,    random_load_test_u64x8,       5228804,          0
               dummy,    1700,      random_swap_test_u64,       4200076,         81
               dummy,    1700,       random_swap_test_u8,       4209322,         81
               dummy,    1700,       linear_swap_test_u8,            34,         81
               dummy,    1700,             binsearch_u64,         58154,         81
               dummy,    1700,                 qsort_u32,           362,         d1
               dummy,    1700,                 qsort_u64,           354,         d1
               dummy,    1700,                 radixsort,       1373274,         51
                base,    1700,                      TEST,          TICK,       HASH
                base,    1700,      random_load_test_u64,      17801258,         7a
                base,    1700,      linear_load_test_u64,      12991716,          4
                base,    1700,     random_store_test_u64,      15320008,         e5
                base,    1700,     linear_store_test_u64,      15067818,          6
                base,    1700,    random_load_test_u64x8,      36411268,         a3
                base,    1700,      random_swap_test_u64,      23149782,          6
                base,    1700,       random_swap_test_u8,      23251418,         26
                base,    1700,       linear_swap_test_u8,      22354880,         d0
                base,    1700,             binsearch_u64,         67178,         81
                base,    1700,                 qsort_u32,        881584,         51
                base,    1700,                 qsort_u64,        392630,         d1
                base,    1700,                 radixsort,        947932,         51
         rasm_indjmp,    1700,                      TEST,          TICK,       HASH
         rasm_indjmp,    1700,      random_load_test_u64,      68145570,         7a
         rasm_indjmp,    1700,      linear_load_test_u64,      22429520,          4
         rasm_indjmp,    1700,     random_store_test_u64,      64717186,         e5
         rasm_indjmp,    1700,     linear_store_test_u64,      28228366,          6
         rasm_indjmp,    1700,    random_load_test_u64x8,     149605466,         a3
         rasm_indjmp,    1700,      random_swap_test_u64,     151235358,          6
         rasm_indjmp,    1700,       random_swap_test_u8,     195133018,         26
         rasm_indjmp,    1700,       linear_swap_test_u8,      81774146,         d0
         rasm_indjmp,    1700,             binsearch_u64,        117108,         81
         rasm_indjmp,    1700,                 qsort_u32,       3294222,         51
         rasm_indjmp,    1700,                 qsort_u64,       1226512,         d1
