              target,        LEN, HEADER,                      TEST,          TICK,  HASH,        REP
              target,        LEN, HEADER,  cnt_trans,   cnt_rasm, cnt_swap_in, cnt_swap_out, time_trans,  time_rasm, time_swap_in, time_swap_out
                 bin,        502, STATS,         498,        498,          0,          0,           44322,           14318,               0,               0
                 bin,        630, STATS,         554,        554,          0,          0,           49294,           15932,               0,               0
                 bin,        758, STATS,         578,        578,          0,          0,           51384,           16644,               0,               0
                 bin,        886, STATS,         600,        600,          0,          0,           53356,           17286,               0,               0
                 bin,       1014, STATS,         606,        606,          0,          0,           53878,           17452,               0,               0
                 bin,       1270, STATS,         654,        654,          0,          0,           58096,           18878,               0,               0
                 bin,       1526, STATS,         669,        669,          0,          0,           59454,           19280,               0,               0
                 bin,       1782, STATS,         674,        674,         35,         25,           66076,           19412,            1352,            1042
                 bin,       2038, STATS,         720,        720,         81,         25,           75974,           20820,            3150,            1036
                 bin,       2550, STATS,         739,        739,        101,         25,           80246,           21312,            3920,            1076
                 bin,       3062, STATS,         766,        766,        143,         25,           88534,           22094,            5488,            1036
                 bin,       3574, STATS,         791,        791,        193,         25,           98706,           22930,            7430,            1014
                 bin,       4086, STATS,         813,        813,        211,         25,          103570,           23584,            8132,            1068
                 bin,       5110, STATS,         874,        874,        267,         25,          120238,           25270,           10282,            1010
                 bin,       6134, STATS,         866,        866,        301,         25,          124744,           25036,           11574,            1022
                 bin,       7158, STATS,         895,        895,        344,         25,          136800,           25938,           13396,            1014
                 bin,       8182, STATS,         905,        905,        319,         25,          136874,           26224,           12316,            1004
                 bin,      10230, STATS,         937,        937,        382,         25,          158082,           27266,           14786,            1014
                 bin,      12278, STATS,         969,        969,        387,         25,          164040,           28224,           14908,            1012
                 bin,      14326, STATS,        1018,       1018,        452,         25,          193256,           29540,           17462,            1012
                 bin,      16374, STATS,        1008,       1008,        490,         25,          207704,           29304,           19114,            1006
                 bin,      20470, STATS,        1022,       1022,        519,         25,          230786,           29702,           20414,            1018
                 bin,      24566, STATS,        1056,       1056,        547,         25,          260580,           30862,           21788,            1010
                 bin,      28662, STATS,        1117,       1117,        595,         25,          295422,           32518,           23822,            1022
                 bin,      32758, STATS,        1093,       1093,        618,         25,          329946,           31760,           25412,            1008
                 bin,      40950, STATS,        1167,       1167,        642,         25,          392702,           33860,           26224,            1018
                 bin,      49142, STATS,        1173,       1173,        660,         25,          425096,           34088,           27326,            1018
                 bin,      57334, STATS,        1191,       1191,        710,         25,          506518,           34606,           29362,            1012
                 bin,      65526, STATS,        1221,       1221,        763,         25,          623142,           35476,           33104,            1018
                 bin,      81910, STATS,        1233,       1233,        724,         25,          685578,           35902,           30612,            1028
                 bin,      98294, STATS,        1268,       1268,        804,         25,          893012,           36888,           34456,            1014
                 bin,     114678, STATS,        1275,       1275,        770,         25,          883352,           37034,           32994,            1042
                 bin,     131062, STATS,        1294,       1294,        850,         25,         1104344,           37590,           38064,            1014
                 bin,     163830, STATS,        1337,       1337,        849,         25,         1278226,           38834,           37038,            1006
                 bin,     196598, STATS,        1364,       1364,        888,         25,         1633732,           39634,           40206,            1022
                 bin,     229366, STATS,        1404,       1404,        928,         25,         1995570,           40734,           41194,            1028
                 bin,     262134, STATS,        1404,       1404,        944,         25,         2303362,           40840,           43550,            1010
                 bin,     327670, STATS,        1452,       1452,        988,         25,         2943216,           42066,           45458,            1018
                 bin,     393206, STATS,        1488,       1488,       1022,         25,         3465546,           43248,           47596,            1024
                 bin,     458742, STATS,        1472,       1472,       1030,         25,         3811240,           42758,           47434,            1018
              matmul,        502, STATS,      181300,     181300,          1,          0,        16173974,         5218262,           10618,               0
              matmul,        630, STATS,      268800,     268800,          1,          0,        23907516,         7741434,           13256,               0
              matmul,        758, STATS,      268800,     268800,          0,          0,        23884040,         7741820,               0,               0
